            White Pawn to 2, 4 = -0.671368
            White Pawn to 2, 5 = -0.294444
            White Pawn to 1, 4 = -0.591697
            White Pawn to 1, 5 = -0.591697
            White Pawn to 5, 4 = -0.94127
            White Pawn to 5, 5 = -0.626984
            White Pawn to 3, 5 = -0.517094
            White Bishop to 2, 4 = -0.25409
            White Knight to 5, 5 = -0.0603175
            White Knight to 7, 5 = -0.324603
            White Knight to 4, 6 = -0.432021
            White Bishop to 0, 2 = -0.407937
            White Bishop to 1, 3 = -0.292552
            White Bishop to 3, 5 = -0.351618
            White Bishop to 4, 6 = -0.346123
            White Knight to 2, 5 = -0.0246032
            White Rook to 0, 6 = -0.457937
            White Queen to 7, 3 = -0.896032
            White Queen to 4, 6 = -1.12131
            White Queen to 6, 4 = -0.875427
            White Queen to 5, 5 = -0.896032
        Black Pawn to 4, 4 = -0.0246032
    White Pawn to 0, 5 = -0.0246032
            White Pawn to 3, 4 = -2.77625
            White Pawn to 2, 4 = -1.16581
            White Pawn to 0, 5 = -0.94127
            White Pawn to 0, 4 = -1.05794
            White Pawn to 7, 5 = -0.94127
            White Pawn to 7, 4 = -1.05794
            White Pawn to 3, 5 = -0.97735
            White King to 5, 6 = -0.884524
            White King to 4, 6 = -1.09194
            White Pawn to 5, 3 = -1.15879
            White Pawn to 2, 5 = -0.788889
            White Pawn to 1, 4 = -1.08614
            White Pawn to 1, 5 = -0.786142
            White Pawn to 6, 5 = -0.786142
            White Pawn to 6, 4 = -1.06554
            White Bishop to 3, 5 = -1.1794
            White Knight to 4, 6 = -0.926465
            White Knight to 7, 5 = -0.819048
            White Knight to 5, 5 = -0.554762
            White Bishop to 0, 2 = -0.902381
            White Bishop to 1, 3 = -0.786996
            White Bishop to 2, 4 = -0.748535
            White Bishop to 4, 6 = -0.840568
            White Knight to 0, 5 = -0.819048
            White Knight to 2, 5 = -0.519048
            White Queen to 4, 6 = -1.59789
            White Queen to 7, 3 = -1.39048
            White Queen to 6, 4 = -1.38773
            White Queen to 5, 5 = -1.42619
        Black Pawn to 4, 4 = -0.519048
    White Pawn to 5, 4 = -0.519048
            White Pawn to 4, 4 = -0.735714
            White Pawn to 3, 4 = -0.673932
            White King to 5, 6 = -0.659127
            White Pawn to 1, 4 = -0.660745
            White Pawn to 1, 5 = -0.360745
            White Pawn to 0, 4 = -0.63254
            White Pawn to 0, 5 = -0.515873
            White Pawn to 5, 4 = -1.1246
            White Pawn to 6, 4 = -0.622283
            White Pawn to 6, 5 = -0.660745
            White Pawn to 3, 5 = -0.475031
            White King to 4, 6 = -0.83083
            White Pawn to 7, 4 = -0.63254
            White Pawn to 7, 5 = -0.515873
            White Pawn to 2, 4 = -0.740415
            White Pawn to 2, 5 = -0.363492
            White Bishop to 0, 2 = -0.476984
            White Bishop to 1, 3 = -0.3616
            White Bishop to 2, 4 = -0.323138
            White Bishop to 3, 5 = -0.420665
            White Bishop to 4, 6 = -0.45638
            White Knight to 4, 6 = -0.465354
            White Knight to 7, 5 = -0.393651
            White Knight to 0, 5 = -0.393651
            White Knight to 2, 5 = -0.0936508
            White Queen to 4, 6 = -1.1725
        Black Pawn to 4, 4 = -0.0936508
    White Pawn to 5, 5 = -0.0936508
            White Pawn to 3, 4 = -0.729151
            White Pawn to 7, 4 = -0.687759
            White Pawn to 1, 4 = -0.715965
            White Pawn to 1, 5 = -0.415965
            White Pawn to 3, 5 = -0.53025
            White Pawn to 6, 3 = -0.886142
            White Pawn to 0, 4 = -0.687759
            White Pawn to 0, 5 = -0.571093
            White Pawn to 5, 4 = -1.06554
            White Pawn to 5, 5 = -0.733394
            White King to 4, 6 = -1.10391
            White Pawn to 7, 5 = -0.571093
            White Pawn to 2, 4 = -0.795635
            White Pawn to 2, 5 = -0.418712
            White Bishop to 7, 5 = -0.68605
            White Bishop to 4, 6 = -0.529457
            White Bishop to 3, 5 = -0.514347
            White Bishop to 2, 4 = -0.416819
            White Bishop to 1, 3 = -0.455281
            White Bishop to 0, 2 = -0.570665
            White Bishop to 6, 6 = -0.609127
            White Knight to 5, 5 = -0.166728
            White Knight to 7, 5 = -0.448871
            White Knight to 4, 6 = -0.538431
            White Knight to 0, 5 = -0.448871
            White Knight to 2, 5 = -0.148871
            White Queen to 5, 5 = -1.00244
            White Queen to 4, 6 = -1.24557
        Black Pawn to 4, 4 = -0.148871
    White Pawn to 6, 4 = -0.148871
            White Pawn to 3, 4 = -0.449756
            White King to 4, 6 = -0.842369
            White Pawn to 2, 4 = -0.516239
            White Pawn to 2, 5 = -0.139316
            White Pawn to 3, 5 = -0.250855
            White Pawn to 6, 4 = -0.865537
            White Pawn to 0, 4 = -0.408364
            White Pawn to 0, 5 = -0.291697
            White Pawn to 5, 4 = -0.786142
            White Pawn to 5, 5 = -0.771856
            White Pawn to 1, 4 = -0.436569
            White Pawn to 1, 5 = -0.136569
            White Pawn to 7, 4 = -0.408364
            White Pawn to 7, 5 = -0.591697
            White Bishop to 7, 5 = -0.252808
            White Bishop to 6, 6 = -0.329731
            White Bishop to 0, 2 = -0.29127
            White Bishop to 1, 3 = -0.175885
            White Bishop to 2, 4 = -0.137424
            White Bishop to 3, 5 = -0.234951
            White Bishop to 4, 6 = -0.229457
            White Knight to 5, 5 = 0.0948107
            White Knight to 7, 5 = -0.169475
            White Knight to 4, 6 = -0.276893
            White Knight to 0, 5 = -0.169475
            White Knight to 2, 5 = 0.130525
            White Queen to 4, 6 = -0.966178
            White Queen to 7, 3 = -0.740904
            White Queen to 6, 4 = -0.738156
            White Queen to 5, 5 = -0.740904
        Black Pawn to 4, 4 = 0.130525
    White Pawn to 6, 5 = 0.130525
            White Pawn to 3, 4 = -0.604884
            White Pawn to 6, 5 = -0.591697
            White King to 4, 6 = -0.997497
            White Pawn to 2, 4 = -0.671368
            White Pawn to 2, 5 = -0.294444
            White Pawn to 3, 5 = -0.517094
            White Pawn to 7, 4 = -0.857937
            White Pawn to 0, 4 = -0.563492
            White Pawn to 0, 5 = -0.446825
            White Pawn to 5, 4 = -0.94127
            White Pawn to 5, 5 = -0.626984
            White Pawn to 1, 4 = -0.591697
            White Pawn to 1, 5 = -0.291697
